"","Listing ID","NMR","S","St#","St Name","Unit Number","City","MLS Area","Attached Garage YN","L/C Price","Bedrooms Total","Baths","Sqft","Yr Built","Lot Size Area","Subdivision Name","Close Date","List Office Name","List Agent First Name","List Agent Last Name"
"1","26656799","","A","1565","Via Leon   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","","$9,495,000","5","7","6165/D","2024/SLR","16,986","","","Keller Williams Beverly Hills","Ethan","Schultz"
"1","SB26037312","Y","A","1816","Paseo Del Mar   ","","Palos Verdes Estates","160 - Lunada Bay/Margate","Yes","$11,900,000","6","9","11000/B","2019/BLD","23,109","","","Ryker Flint Commercial Inc.","David","Orenstein"
"1","PV26061348","Y","A","1209","Granvia Altamira   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$3,000,000","4","4","3441/A","1958/ASR","18,977","","","Estate Properties","Cathy","Juhas"
"1","SR25224222","Y","A","1133","Granvia Altamira   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$3,700,000","5","6","3818/E","1953/ASR","20,341","","","Luxury Collective","Ricardo","Pardo"
"1","PV26065077","Y","A","1500","Via Arco   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$4,500,000","4","4","3000/E","1976/ASR","29,200","","","Harcourts Hunter Mason Realty","Patti","Gowda"
"1","PV25046515","Y","A","940","Paseo La Cresta   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$5,950,000","5","6","7734/A","1981/ASR","65,479","","","Estate Properties","Gayle","Probst"
"1","OC26014205","Y","A","2521","Novato PL  ","","Palos Verdes Estates","162 - Monte Malaga","No","$6,780,000","3","3","3586/A","1955/ASR","65,179","","","Realty Discount Corporation","Kurt","Steffien"
"1","SB25278581","Y","A","2232","Via La Brea   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$7,188,000","5","7","6349/A","2008/ASR","18,998","","","eXp Realty of California, Inc","Edward","Kaminsky"
"1","PV26047166","Y","A","1502","Paseo La Cresta   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$7,450,000","6","6","7556/P","2000/PUB","31,236","","","Estate Properties","Kevin","Megowan"
"1","26668675","","A","1533","Via Lopez   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$9,480,000","6","8","8610/","2011","29,975","","","Christie's International Real Estate SoCal","Aaron","Kirman"
"1","PV26048855","Y","A","1412","Lower Paseo La Cresta   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$9,900,000","4","8","7500/E","2001/ASR","66,139","","","Vista Sotheby's International Realty","Chris","Adlam"
"1","SB25139538","Y","A","1129","Via Mirabel   ","","Palos Verdes Estates","162 - Monte Malaga","Yes","$28,888,000","13","20","34143/A","1994/ASR","143,392","","","Bayside","Bryn","Stroyke"
"1","OC25282317","Y","A","5","Yellow Brick RD  ","","Rancho Palos Verdes","163 - Malaga Cove","Yes","$3,199,000","4","4","3884/A","1980/ASR","20,440","","","Zutila Real Estate","Mike","Pahua"
"1","SB26030844","Y","A","773","Via Somonte   ","","Palos Verdes Estates","163 - Malaga Cove","Yes","$3,800,000","4","3","2332/A","1958/ASR","7,544","","","Boyd The Broker Real Estate","Boyd E.","Jeffery"
"1","SB25182697","Y","A","1400","Via Montemar   ","","Palos Verdes Estates","163 - Malaga Cove","Yes","$4,395,000","3","4","1668/A","1940/ASR","15,464","","","Vista Sotheby’s International Realty","John","Corrales"
"1","PV26044153","Y","A","1801","Via Arriba   ","","Palos Verdes Estates","163 - Malaga Cove","Yes","$5,280,000","4","4","3906/D","1970/ASR","8,995","","","Coldwell Banker Realty","Virginia","Butler"
"1","PV26007957","Y","A","728","Via Somonte   ","","Palos Verdes Estates","163 - Malaga Cove","Yes","$5,500,000","4","5","3800/E","2026/SEE","10,250","","","Vista Sotheby's International Realty","Chris","Adlam"
"1","SB26013765","Y","A","4","Yellow Brick Rd   ","","Rancho Palos Verdes","163 - Malaga Cove","Yes","$8,200,000","5","7","6468/A","2005/PUB","24,378","","","eXp Realty of California Inc","David","Caskey"
"1","26666347","","A","1115","Palos Verdes DR  ","","Palos Verdes Estates","163 - Malaga Cove","","$9,350,000","3","3","2866/","1952","20,631","","","Christie's International Real Estate SoCal","Jenni Emilia","Lauri"
"1","SB25244824","Y","A","121","Via Ardilla   ","","Palos Verdes Estates","164 - Valmonte","Yes","$2,125,000","3","2","1911/A","1949/ASR","7,789","","","Coldwell Banker Realty","Patricia","Haught"
"1","PV26054989","Y","A","4240","Via Pinzon   ","","Palos Verdes Estates","164 - Valmonte","No","$2,199,000","5","3","2334/A","1954/APP","7,202","","","Compass","Steve","Smith"
"1","PV26050873","Y","A","4408","Via Pinzon   ","","Palos Verdes Estates","164 - Valmonte","Yes","$2,199,000","3","2","1811/AP","1955/ASR","7,650","","","Vista Sotheby's International Realty","Anne","St.Cyr"
"1","PV26037792","Y","A","300","Via Alcance   ","","Palos Verdes Estates","164 - Valmonte","Yes","$3,100,000","4","4","2436/A","1950/ASR","9,544","","","Keller Williams Realty","Nicole","Pletkovich"
"1","PV26013584","Y","A","3649","Navajo PL  ","","Palos Verdes Estates","164 - Valmonte","Yes","$4,899,000","4","4","3871/A","2008/PUB","13,387","","","Compass","Karen","Lowe"
"1","SB26024622","Y","A","16","Bridlewood Circle   ","","Rolling Hills Estates","165 - PV Dr North","Yes","$2,450,000","4","3","3578/A","1978/PUB","23,027","","","Guy Mato","Guy","Mato"
"1","PV26050997","Y","A","4","Bridlewood CIR  ","","Rolling Hills Estates","165 - PV Dr North","Yes","$2,494,000","3","3","2903/A","1978/ASR","24,770","","","Estate Properties","Anthony","Todora"
"1","SR26003593","Y","A","2","Colina   ","","Rolling Hills Estates","165 - PV Dr North","Yes","$2,739,000","4","3","3940/A","1990/ASR","22,620","","","Coldwell Banker Exclusive","Henry","Barcarse"
"1","SB26062458","Y","A","5","Colina LN  ","","Rolling Hills Estates","165 - PV Dr North","Yes","$2,850,000","5","4","3913/A","1990/ASR","23,644","","","Estate Properties","Jamie","Anvaripour"
"1","PV26028345","Y","A","4","Deerhill   ","","Rolling Hills Estates","165 - PV Dr North","Yes","$2,899,000","4","3","3227/S","1961/ASR","20,143","","","Estate Properties","DeDe","Hsu"
"1","SB26063017","Y","A","46","Empty Saddle RD  ","","Rolling Hills Estates","165 - PV Dr North","No","$3,985,000","5","5","3101/A","1947/PUB","21,366","","","West Shores Realty, Inc.","Awtar","Thiara"
"1","PV26054163","Y","A","9","Casaba RD  ","","Rolling Hills Estates","165 - PV Dr North","Yes","$4,500,000","5","6","4855/A","2016/ASR","18,836","","","Keller Williams Palos Verdes","Stephen","Haw"
"1","PV25157424","Y","A","2","Chuckwagon RD  ","","Rolling Hills","166 - Rolling Hills","No","$2,495,000","3","3","2600/AP","1949/ASR","50,838","","","Estate Properties","Tashia","Hinchliffe"
"1","PV26027861","Y","A","3","Poppy Trail   ","","Rolling Hills","166 - Rolling Hills","Yes","$4,750,000","4","6","4641/E","1957/ASR","120,486","","","Vista Sotheby's International Realty","Chris","Adlam"
"1","PV26001465","Y","A","67","Eastfield   ","","Rolling Hills","166 - Rolling Hills","Yes","$4,995,000","4","4","3536/D","2015/ASR","55,412","","","Coastal Legacy Realty Group","Bill","Ruth"
"1","WS26055189","Y","A","2","Bowie RD  ","","Rolling Hills","166 - Rolling Hills","Yes","$5,280,000","5","7","5035/E","2013/SEE","41,061","","","IRN REALTY","DELPHINE","TSO"
"1","PV25272474","Y","A","57","Saddleback   ","","Rolling Hills","166 - Rolling Hills","No","$5,895,000","4","5","5274/D","1939/ASR","84,743","","","Coastal Legacy Realty Group","Bill","Ruth"
"1","WS26065821","Y","A","60","Crest RD  E","","Rolling Hills","166 - Rolling Hills","Yes","$6,000,000","5","6","7085/A","1990/ASR","138,212","","","IRN REALTY","DELPHINE","TSO"
"1","PV24234187","Y","A","50","Eastfield DR  ","","Rolling Hills","166 - Rolling Hills","Yes","$6,000,000","5","6","6600/E","1999/ASR","73,586","","","Berkshire Hathaway HomeService","Leslie","Stetson"
"1","PV26057607","Y","A","49","Saddleback   ","","Rolling Hills","166 - Rolling Hills","Yes","$6,450,000","6","7","7250/D","1998/ASR","86,145","","","Coastal Legacy Realty Group","Charlie","Raine"
"1","PV26058396","Y","A","80","Saddleback   ","","Rolling Hills","166 - Rolling Hills","Yes","$7,270,000","7","11","13617/OTH","2026/OTH","307,671","","","Strand Hill Properties","Keith","Kelley"
"1","PV26057028","Y","A","100","Saddleback   ","","Rolling Hills","166 - Rolling Hills","Yes","$8,750,000","6","7","6269/A","1952/ASR","187,893","","","Strand Hill Properties","Suzanne","Dyer"
"1","PV26046180","Y","A","38","Saddleback   ","","Rolling Hills","166 - Rolling Hills","Yes","$19,800,000","5","11","9463/O","2015/ASR","54,732","","","Strand Hill Properties","Keith","Kelley"
"1","PW26050645","Y","A","1","Cayuse LN  ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$1,649,000","3","3","2035/A","1963/ASR","19,723","","","Home Base Realty Inc","John","Shaw"
"1","PV26045323","Y","A","2222","Rue Le Charlene   ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$1,725,000","5","3","2398/A","1969/ASR","22,118","","","Keller Williams Palos Verdes","John","D'Amico"
"1","OC25264189","Y","A","2831","Via El Miro   ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$2,195,000","4","2","2471/A","1958/ASR","16,704","","","Homequest Real Estate","Gabriela","Aspiazu"
"1","PV25156715","Y","A","3311","Crownview DR  ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$2,250,000","4","3","3290/A","1977/ASR","19,528","","","Estate Properties","Jerry","Yutronich"
"1","PV26065880","Y","A","6616","Via Colinita   ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$2,445,000","4","3","3214/A","1989/ASR","7,294","","","Estate Properties","Cheryl","Bakotich"
"1","SB26038926","Y","A","29815","knollview dr   ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$2,600,000","4","4","3016/E","1968/BLD","0","","","Keller Williams Realty","James","Athans"
"1","PV25263768","Y","A","29865","Knoll View   ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$2,749,000","4","3","2828/A","1968/ASR","16,122","","","Estate Properties","Jerry","Yutronich"
"1","PV26062122","Y","A","49","Headland DR  ","","Rancho Palos Verdes","167 - PV Dr East","No","$2,800,000","3","4","2754/A","1951/ASR","26,513","","","Estate Properties","Lisa","Caro"
"1","PV26023893","Y","A","28056","Palos Verdes Drive East   ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$3,200,000","6","5","4138/E","1955/ASR","26,725","","","Vista Sotheby's International Realty","Chris","Adlam"
"1","PV25235652","Y","A","43","Avenida Corona   ","","Rancho Palos Verdes","167 - PV Dr East","Yes","$3,250,000","5","4","4524/A","2010/ASR","19,568","","","Estate Properties","Jerry","Yutronich"
"1","SB26056041","Y","A","31211","Floweridge DR  ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$1,600,000","3","2","1929/P","1969/PUB","9,134","","","Estate Properties","Haley","Farrahi"
"1","OC26046198","Y","A","2704","Vista Mesa   ","","Rancho Palos Verdes","168 - Mira Catalina","No","$1,800,000","5","3","1893/A","1960/EST","10,146","","","Harcourts Prime Properties","Justin","Green"
"1","PV25254593","Y","A","3554","Seaglen   ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$1,887,000","4","3","2115/A","1971/ASR","9,764","","","Estate Properties","Gayle","Probst"
"1","SB25042936","Y","A","4","Paseo De Castana   ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$1,999,999","4","5","4017/A","1998/PUB","9,887","","","West Shores Realty, Inc.","Erik","Patschull"
"1","SB26043408","Y","A","3226","Corinna   ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$2,298,000","4","3","2487/A","1962/ASR","12,075","","","Vista Sotheby’s International Realty","Tiana","Capper"
"1","SB26033352","Y","A","20","Paseo De Castana   ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$2,399,000","4","5","4001/A","1998/PUB","8,479","","","Realion Real Estate","Ante","Perkov"
"1","SB26063141","Y","A","3550","Coolheights   ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$2,499,000","4","4","3309/A","1970/PUB","12,222","","","Estate Properties","Jason","Sikola"
"1","SB26040913","Y","A","2","Avenida De Olma   ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$2,499,000","4","4","4741/A","1990/ASR","8,121","","","Scott Anastasi Realty, Inc.","Pamela","Gillett"
"1","26636723","","A","3304","Seaclaire DR  ","","Rancho Palos Verdes","168 - Mira Catalina","","$3,050,000","4","3","2547/","1965","12,132","","","Compass","Jordan","Bridges"
"1","SB25194384","Y","A","2935","Vista del Mar   ","","Rancho Palos Verdes","168 - Mira Catalina","Yes","$13,999,999","5","7","7634/P","2019/SLR","27,878","","","Compass","Timothy","Meza"
"1","SB25229708","Y","A","1","Thyme   ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$1,200,000","5","4","2000/A","1950/ASR","33,742","","","Vista Sotheby’s International Realty","Lida","Sandera"
"1","PV26005928","N","A","6508","Sandy Point CT  ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$1,765,000","3","3","2447/A","1987/ASR","4,436","","","Rockyfield","Y. Anthony","Iwata"
"1","26666145","","A","26","Packet RD  ","","Rancho Palos Verdes","169 - PV Dr South","","$1,795,000","3","2","1631/","1954","9,124","","","Aspire Los Angeles","Letty","Vermeulen Hernandez"
"1","PV26019307","Y","A","32548","Coastsite   ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$1,800,000","3","4","2846/T","1979/ASR","1,584","","","Berkshire Hathaway HomeService","Leslie","Stetson"
"1","PV26057653","Y","A","3675","Vigilance   ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$1,850,000","4","3","2000/E","1965/ASR","15,457","","","Coastal Legacy Realty Group","Bill","Ruth"
"1","PV26067246","Y","A","3570","Heroic DR  ","","Rancho Palos Verdes","169 - PV Dr South","No","$2,050,000","3","3","1922/A","1963/PUB","13,040","","","Compass","Karen","Lowe"
"1","PV26029010","Y","A","32508","Seawolf DR  ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$2,395,000","4","4","2837/A","2000/ASR","11,693","","","Keller Williams Palos Verdes","Stephen","Haw"
"1","PV26062675","Y","A","33","Nuvola CT  ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$3,450,000","4","4","3470/A","1998/PUB","17,510","","","Keller Williams Palos Verdes","John","D'Amico"
"1","PV26052679","Y","A","32551","Seacliff DR  ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$5,600,000","4","4","4983/A","1989/ASR","16,467","","","Vista Sotheby's International Realty","Matthew","Engle"
"1","219140207DA","","A","32524","Seacliff DR  ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$5,990,000","5","5","4960/A","1984/ASR","14,211","Not Applicable-1","","Desert Gate Real Estate","Eddie","Sanin"
"1","PV26071976","Y","A","31909","Emerald View   ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$7,950,000","5","6","4978/B","2025/ASR","16,679","","","The Agency","Sharon","Benton"
"1","PV25171152","Y","A","32009","Cape Point DR  ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$7,998,888","6","7","6149/B","2019/ASR","19,368","","","Compass","Tadashi","Kondo"
"1","TR25260659","Y","A","2990","Twin Harbors View   ","","Rancho Palos Verdes","169 - PV Dr South","Yes","$8,880,000","4","6","6208/A","2005/ASR","12,669","","","Kander Pacific, Inc","Jessica","Chen"
"1","SB26051384","Y","A","30358","Via Rivera   ","","Rancho Palos Verdes","170 - West Palos Verdes","Yes","$2,025,000","4","3","2779/A","1970/ASR","10,262","","","Fredericks Realty","Jaishree","Mehta"
"1","PV26034542","Y","A","30129","Via Rivera   ","","Rancho Palos Verdes","170 - West Palos Verdes","Yes","$2,680,000","4","4","2510/B","1961/ASR","10,287","","","Real Brokerage Technologies, I","Yang","Li"
"1","WS25184322","Y","A","64","Laurel DR  ","","Rancho Palos Verdes","170 - West Palos Verdes","Yes","$8,800,000","6","10","8313/A","2001/PUB","41,384","","","Pinnacle Real Estate Group","YUAN","CHEN"
"1","PV26024119","Y","A","71","Marguerite   ","","Rancho Palos Verdes","170 - West Palos Verdes","No","$8,950,000","4","6","7300/T","1998/ASR","55,111","","","Estate Properties","Kevin","Moen"
"1","WS26055278","Y","A","3300","Palos Verdes   W","","Rancho Palos Verdes","170 - West Palos Verdes","Yes","$13,260,000","6","9","12279/A","1997/APP","48,696","","","RE/MAX ELITE REALTY","HE GEORGE","GAO"
"1","SB25028567","Y","A","57","Via Del Cielo   ","","Rancho Palos Verdes","170 - West Palos Verdes","Yes","$17,692,312","7","8","7969/A","2007/PUB","32,105","","","Keller Williams Realty","Adela","Randazzo"
"1","SB24238352","Y","A","30538","Rhone DR  ","","Rancho Palos Verdes","171 - Country Club","Yes","$2,600,000","3","3","3257/A","1978/ASR","20,116","","","Starts Pacific, Inc.","Kenji","Yoshioka"
"1","SB26038559","Y","A","28829","Crestridge   ","","Rancho Palos Verdes","172 - La Cresta","Yes","$2,950,000","4","4","3487/A","1970/ASR","20,673","","","Century 21 Coastal Properties","Sandy","Yousif"
"1","PV26018119","Y","A","10","Horseshoe   ","","Rolling Hills Estates","172 - La Cresta","Yes","$2,990,000","5","4","4173/A","1979/ASR","14,785","","","Estate Properties","Gina","Gaugler-Christie"
"1","PV26004756","Y","A","3","Park PL  ","","Rancho Palos Verdes","172 - La Cresta","Yes","$2,990,000","5","4","3956/A","1989/ASR","21,732","","","Estate Properties","DeDe","Hsu"
"1","PV25281801","Y","A","5215","Middlecrest RD  ","","Rancho Palos Verdes","172 - La Cresta","Yes","$3,150,000","4","6","2915/A","1962/ASR","24,727","","","Estate Properties","Kathy","Tyndall"
"1","P1-26203","","A","8","Burrell LN  ","","Rancho Palos Verdes","172 - La Cresta","Yes","$3,498,000","3","3","3428/A","1984/ASR","35,117","","","Coldwell Banker Realty","Chelby","Crawford"
"1","PV26062453","Y","A","21","Coveview DR  ","","Rancho Palos Verdes","172 - La Cresta","Yes","$3,998,000","5","4","3547/T","1965/ASR","18,024","","","Estate Properties","Shar","Farrokhsiar"
